non moderated AmBe with Lead shielding (12*5mins measurement);;;moderated AmBe with Lead shielding (12*5mins measurement);;
Energy (keV);Intensity (non filter);Intensity (Gd filter);Energy (keV);Intensity (non filter);Intensity (Gd filter)
0;0;0;0;0;0
1;0;0;1;0;0
2;0;0;2;0;0
3;0;0;3;0;0
4;0;0;4;0;0
5;0;0;5;0;0
6;0;0;6;0;0
7;0;0;7;0;0
8;0;0;8;0;0
9;0;0;9;0;0
10;0;0;10;0;0
11;0;0;11;0;0
12;0;0;12;0;0
13;0;0;13;0;0
14;0;0;14;0;0
15;0;0;15;0;0
16;0;0;16;0;0
17;0;0;17;0;0
18;0;0;18;0;0
19;0;0;19;0;0
20;0;0;20;0;0
21;0;0;21;0;0
22;0;0;22;0;0
23;0;0;23;0;0
24;0;0;24;0;0
25;688.3627204;623.6734694;25;1328.36272;205.7142857
26;693.1989924;600.8163265;26;1210.680101;192.6530612
27;860.8564232;515.9183673;27;1197.783375;205.7142857
28;1044.634761;610.6122449;28;1236.473552;192.6530612
29;1057.531486;528.9795918;29;1212.292191;153.4693878
30;791.5365239;457.1428571;30;1215.516373;146.9387755
31;883.4256927;584.4897959;31;1254.206549;124.0816327
32;791.5365239;411.4285714;32;1360.604534;133.877551
33;694.8110831;336.3265306;33;1410.579345;156.7346939
34;648.0604534;329.7959184;34;1376.725441;107.755102
35;648.0604534;349.3877551;35;1475.062972;140.4081633
36;648.0604534;375.5102041;36;1447.657431;117.5510204
37;701.2594458;466.9387755;37;1563.72796;160
38;780.2518892;365.7142857;38;1605.642317;166.5306122
39;757.6826196;427.755102;39;1528.261965;173.0612245
40;835.0629723;421.2244898;40;1591.133501;248.1632653
41;739.9496222;473.4693878;41;1636.27204;163.2653061
42;810.8816121;414.6938776;42;1560.503778;329.7959184
43;865.6926952;528.9795918;43;1583.073048;411.4285714
44;893.0982368;532.244898;44;1515.365239;326.5306122
45;920.5037783;643.2653061;45;1454.105793;248.1632653
46;957.581864;1061.22449;46;1358.992443;202.4489796
47;1043.02267;1492.244898;47;1381.561713;205.7142857
48;1057.531486;1136.326531;48;1294.508816;205.7142857
49;1038.186398;535.5102041;49;1220.352645;251.4285714
50;1049.471033;411.4285714;50;1125.239295;169.7959184
51;1139.748111;457.1428571;51;1075.264484;130.6122449
52;1038.186398;666.122449;52;973.7027708;107.755102
53;1139.748111;679.1836735;53;838.2871537;101.2244898
54;1162.31738;519.1836735;54;794.7607053;101.2244898
55;1138.13602;365.7142857;55;786.7002519;81.63265306
56;1105.894207;222.0408163;56;640;101.2244898
57;1144.584383;362.4489796;57;477.1788413;104.4897959
58;1238.085642;320;58;388.5138539;84.89795918
59;1183.274559;290.6122449;59;317.581864;81.63265306
60;1263.879093;264.4897959;60;272.4433249;101.2244898
61;1236.473552;277.5510204;61;270.8312343;62.04081633
62;1278.387909;306.9387755;62;259.5465995;94.69387755
63;1197.783375;326.5306122;63;265.9949622;71.83673469
64;1141.360202;261.2244898;64;230.5289673;71.83673469
65;1273.551637;385.3061224;65;248.2619647;65.30612245
66;1273.551637;310.2040816;66;217.6322418;75.10204082
67;1273.551637;316.7346939;67;246.6498741;91.42857143
68;1238.085642;359.1836735;68;217.6322418;120.8163265
69;1271.939547;391.8367347;69;209.5717884;91.42857143
70;1262.267003;342.8571429;70;216.0201511;111.0204082
71;1236.473552;342.8571429;71;253.0982368;84.89795918
72;1289.672544;359.1836735;72;236.97733;91.42857143
73;1291.284635;388.5714286;73;277.279597;94.69387755
74;1259.042821;385.3061224;74;272.4433249;124.0816327
75;1262.267003;375.5102041;75;245.0377834;111.0204082
76;1242.921914;444.0816327;76;214.4080605;117.5510204
77;1178.438287;388.5714286;77;195.0629723;101.2244898
78;1223.576826;414.6938776;78;207.9596977;107.755102
79;1276.775819;427.755102;79;164.4332494;78.36734694
80;1147.808564;382.0408163;80;206.3476071;88.16326531
81;1149.420655;404.8979592;81;169.2695214;78.36734694
82;1225.188917;466.9387755;82;196.675063;97.95918367
83;1122.015113;411.4285714;83;182.1662469;62.04081633
84;1194.559194;391.8367347;84;203.1234257;127.3469388
85;1092.997481;411.4285714;85;180.5541562;75.10204082
86;1059.143577;372.244898;86;183.7783375;81.63265306
87;1046.246851;453.877551;87;161.209068;94.69387755
88;1062.367758;424.4897959;88;174.1057935;101.2244898
89;1036.574307;359.1836735;89;143.4760705;78.36734694
90;1043.02267;427.755102;90;140.2518892;130.6122449
91;1039.798489;388.5714286;91;157.9848866;101.2244898
92;951.1335013;483.2653061;92;162.8211587;101.2244898
93;1018.84131;424.4897959;93;137.0277078;68.57142857
94;901.1586902;382.0408163;94;146.7002519;68.57142857
95;947.9093199;388.5714286;95;119.2947103;91.42857143
96;939.8488665;417.9591837;96;161.209068;65.30612245
97;923.7279597;346.122449;97;116.070529;88.16326531
98;818.9420655;434.2857143;98;128.9672544;84.89795918
99;870.5289673;401.6326531;99;124.1309824;88.16326531
100;915.6675063;375.5102041;100;119.2947103;101.2244898
101;809.2695214;480;101;116.070529;75.10204082
102;786.7002519;336.3265306;102;135.4156171;81.63265306
103;828.6146096;417.9591837;103;109.6221662;88.16326531
104;852.7959698;401.6326531;104;112.8463476;62.04081633
105;791.5365239;444.0816327;105;127.3551637;81.63265306
106;715.768262;411.4285714;106;109.6221662;62.04081633
107;735.1133501;453.877551;107;114.4584383;62.04081633
108;714.1561713;395.1020408;108;95.11335013;42.44897959
109;675.465995;342.8571429;109;91.88916877;68.57142857
110;717.3803526;411.4285714;110;96.72544081;65.30612245
111;667.4055416;352.6530612;111;95.11335013;78.36734694
112;693.1989924;408.1632653;112;87.05289673;71.83673469
113;614.2065491;398.3673469;113;96.72544081;58.7755102
114;588.4130982;411.4285714;114;91.88916877;65.30612245
115;693.1989924;395.1020408;115;82.21662469;58.7755102
116;604.534005;333.0612245;116;83.82871537;55.51020408
117;559.395466;382.0408163;117;104.7858942;52.24489796
118;596.4735516;336.3265306;118;77.38035264;78.36734694
119;573.9042821;368.9795918;119;72.5440806;58.7755102
120;548.1108312;372.244898;120;56.4231738;68.57142857
121;554.559194;401.6326531;121;74.15617128;78.36734694
122;528.7657431;244.8979592;122;77.38035264;35.91836735
123;514.256927;404.8979592;123;87.05289673;75.10204082
124;533.6020151;297.1428571;124;74.15617128;52.24489796
125;565.8438287;300.4081633;125;62.87153652;62.04081633
126;493.2997481;382.0408163;126;62.87153652;58.7755102
127;494.9118388;300.4081633;127;78.99244332;52.24489796
128;438.488665;339.5918367;128;67.70780856;78.36734694
129;454.6095718;284.0816327;129;61.25944584;48.97959184
130;407.8589421;349.3877551;130;41.91435768;32.65306122
131;388.5138539;287.3469388;131;45.13853904;71.83673469
132;404.6347607;274.2857143;132;61.25944584;55.51020408
133;412.6952141;251.4285714;133;66.09571788;45.71428571
134;452.9974811;244.8979592;134;56.4231738;58.7755102
135;380.4534005;244.8979592;135;69.31989924;68.57142857
136;393.3501259;244.8979592;136;45.13853904;39.18367347
137;385.2896725;287.3469388;137;46.75062972;52.24489796
138;359.4962217;310.2040816;138;51.58690176;45.71428571
139;333.7027708;297.1428571;139;54.81108312;35.91836735
140;312.7455919;251.4285714;140;59.64735516;35.91836735
141;353.0478589;267.755102;141;48.3627204;68.57142857
142;383.6775819;300.4081633;142;41.91435768;55.51020408
143;354.6599496;251.4285714;143;61.25944584;35.91836735
144;314.3576826;208.9795918;144;53.19899244;52.24489796
145;327.2544081;202.4489796;145;45.13853904;48.97959184
146;277.279597;238.3673469;146;46.75062972;39.18367347
147;286.9521411;222.0408163;147;58.03526448;22.85714286
148;309.5214106;228.5714286;148;43.52644836;22.85714286
149;277.279597;257.9591837;149;45.13853904;26.12244898
150;296.6246851;163.2653061;150;37.07808564;32.65306122
151;259.5465995;228.5714286;151;38.69017632;32.65306122
152;259.5465995;182.8571429;152;37.07808564;22.85714286
153;222.4685139;238.3673469;153;35.46599496;35.91836735
154;246.6498741;166.5306122;154;37.07808564;26.12244898
155;249.8740554;156.7346939;155;35.46599496;39.18367347
156;251.4861461;189.3877551;156;41.91435768;16.32653061
157;249.8740554;228.5714286;157;24.1813602;22.85714286
158;236.97733;179.5918367;158;27.40554156;26.12244898
159;216.0201511;182.8571429;159;35.46599496;29.3877551
