n_neutrons bincenter_neutrons n_gammas bincenter_gammas 
15716.000000 -98.999813 59124.000000 -99.000020 
15854.000000 -96.999839 58677.000000 -97.000058 
15398.000000 -94.999865 59327.000000 -95.000098 
15304.000000 -92.999891 59270.000000 -93.000136 
15421.000000 -90.999917 59788.000000 -91.000176 
15142.000000 -88.999943 59643.000000 -89.000214 
14940.000000 -86.999969 60103.000000 -87.000253 
14938.000000 -84.999995 61062.000000 -85.000293 
15168.000000 -83.000021 62360.000000 -83.000331 
15171.000000 -81.000047 62808.000000 -81.000371 
14945.000000 -79.000073 62910.000000 -79.000409 
14798.000000 -77.000099 62860.000000 -77.000449 
14282.000000 -75.000125 62748.000000 -75.000487 
14401.000000 -73.000151 63325.000000 -73.000527 
14225.000000 -71.000177 64180.000000 -71.000565 
13964.000000 -69.000203 64757.000000 -69.000605 
13669.000000 -67.000229 64368.000000 -67.000643 
13256.000000 -65.000255 64507.000000 -65.000682 
13180.000000 -63.000281 65539.000000 -63.000721 
13097.000000 -61.000307 66632.000000 -61.000760 
12581.000000 -59.000333 66280.000000 -59.000799 
12253.000000 -57.000359 66746.000000 -57.000839 
12237.000000 -55.000385 69405.000000 -55.000878 
11891.000000 -53.000411 70875.000000 -53.000916 
11498.000000 -51.000437 71162.000000 -51.000955 
11233.000000 -49.000463 72732.000000 -49.000994 
10787.000000 -47.000489 75282.000000 -47.001033 
10199.000000 -45.000515 76795.000000 -45.001072 
9610.000000 -43.000541 79052.000000 -43.001111 
9081.000000 -41.000567 81043.000000 -41.001150 
8163.000000 -39.000593 83273.000000 -39.001189 
7042.000000 -37.000619 87743.000000 -37.001228 
5623.000000 -35.000645 90813.000000 -35.001267 
4067.000000 -33.000671 92918.000000 -33.001306 
2556.000000 -31.000697 91296.000000 -31.001345 
1273.000000 -29.000723 86625.000000 -29.001384 
656.000000 -27.000749 68993.000000 -27.001423 
456.000000 -25.000775 33190.000000 -25.001462 
417.000000 -23.000801 8723.000000 -23.001501 
491.000000 -21.000827 3608.000000 -21.001540 
395.000000 -19.000853 3126.000000 -19.001579 
409.000000 -17.000879 3058.000000 -17.001618 
405.000000 -15.000905 2917.000000 -15.001658 
414.000000 -13.000931 2844.000000 -13.001697 
411.000000 -11.000957 2710.000000 -11.001735 
367.000000 -9.000983 2570.000000 -9.001774 
379.000000 -7.001009 2609.000000 -7.001813 
391.000000 -5.001035 2469.000000 -5.001852 
378.000000 -3.001061 2378.000000 -3.001891 
311.000000 -1.001087 2298.000000 -1.001930 
336.000000 0.998887 2261.000000 0.998031 
327.000000 2.998861 2181.000000 2.997992 
316.000000 4.998835 2108.000000 4.997953 
264.000000 6.998809 2088.000000 6.997914 
301.000000 8.998783 2027.000000 8.997875 
281.000000 10.998757 1920.000000 10.997836 
284.000000 12.998731 1765.000000 12.997796 
269.000000 14.998705 1845.000000 14.997758 
305.000000 16.998679 1808.000000 16.997719 
243.000000 18.998653 1748.000000 18.997680 
240.000000 20.998627 1744.000000 20.997641 
249.000000 22.998601 1616.000000 22.997602 
251.000000 24.998575 1644.000000 24.997563 
252.000000 26.998549 1553.000000 26.997524 
217.000000 28.998523 1551.000000 28.997485 
230.000000 30.998497 1494.000000 30.997446 
211.000000 32.998471 1463.000000 32.997407 
228.000000 34.998445 1490.000000 34.997368 
206.000000 36.998419 1379.000000 36.997329 
211.000000 38.998393 1284.000000 38.997290 
195.000000 40.998367 1220.000000 40.997251 
215.000000 42.998341 1259.000000 42.997212 
179.000000 44.998315 1219.000000 44.997173 
202.000000 46.998289 1168.000000 46.997134 
186.000000 48.998263 1102.000000 48.997095 
178.000000 50.998237 1071.000000 50.997056 
200.000000 52.998211 1085.000000 52.997017 
166.000000 54.998185 1047.000000 54.996978 
159.000000 56.998159 968.000000 56.996939 
178.000000 58.998133 981.000000 58.996900 
149.000000 60.998107 960.000000 60.996861 
168.000000 62.998081 917.000000 62.996822 
152.000000 64.998055 819.000000 64.996783 
133.000000 66.998029 826.000000 66.996744 
141.000000 68.998003 829.000000 68.996705 
157.000000 70.997977 810.000000 70.996666 
152.000000 72.997951 798.000000 72.996627 
134.000000 74.997925 770.000000 74.996588 
134.000000 76.997899 691.000000 76.996549 
127.000000 78.997873 682.000000 78.996510 
130.000000 80.997847 701.000000 80.996471 
120.000000 82.997821 635.000000 82.996432 
123.000000 84.997795 630.000000 84.996393 
124.000000 86.997769 618.000000 86.996354 
118.000000 88.997743 551.000000 88.996315 
144.000000 90.997717 557.000000 90.996276 
126.000000 92.997691 564.000000 92.996237 
115.000000 94.997665 487.000000 94.996198 
112.000000 96.997639 464.000000 96.996159 
112.000000 98.997613 479.000000 98.996119 
